2 2 0.000144 -0.000158
2 6 0.000111 -0.000437
2 10 0.000057 -0.000618
2 14 0.000002 -0.000679
2 18 -0.000040 -0.000634
2 22 -0.000061 -0.000523
2 26 -0.000063 -0.000387
2 30 -0.000054 -0.000261
2 34 -0.000040 -0.000162
2 38 -0.000026 -0.000092
2 42 -0.000016 -0.000049
2 46 -0.000009 -0.000024
2 50 -0.000004 -0.000011
2 54 -0.000002 -0.000005
2 58 -0.000001 -0.000002
2 62 -0.000000 -0.000001
2 66 -0.000000 -0.000000
2 70 -0.000000 -0.000000
2 74 -0.000000 -0.000000
2 78 -0.000000 -0.000000
2 82 -0.000000 -0.000000
2 86 -0.000000 -0.000000
2 90 -0.000000 -0.000000
2 94 -0.000000 -0.000000
2 98 -0.000000 -0.000000
2 102 -0.000000 -0.000000
2 106 -0.000000 -0.000000
2 110 -0.000000 -0.000000
2 114 -0.000000 -0.000000
2 118 -0.000000 -0.000000
2 122 -0.000000 -0.000000
2 126 -0.000000 -0.000000
6 2 0.000545 -0.000279
6 6 0.000416 -0.000767
6 10 0.000211 -0.001078
6 14 0.000001 -0.001172
6 18 -0.000153 -0.001081
6 22 -0.000229 -0.000880
6 26 -0.000236 -0.000644
6 30 -0.000199 -0.000429
6 34 -0.000146 -0.000263
6 38 -0.000096 -0.000149
6 42 -0.000057 -0.000078
6 46 -0.000031 -0.000038
6 50 -0.000015 -0.000017
6 54 -0.000007 -0.000007
6 58 -0.000003 -0.000003
6 62 -0.000001 -0.000001
6 66 -0.000000 -0.000000
6 70 -0.000000 -0.000000
6 74 -0.000000 -0.000000
6 78 -0.000000 -0.000000
6 82 -0.000000 -0.000000
6 86 -0.000000 -0.000000
6 90 -0.000000 -0.000000
6 94 -0.000000 -0.000000
6 98 -0.000000 -0.000000
6 102 -0.000000 -0.000000
6 106 -0.000000 -0.000000
6 110 -0.000000 -0.000000
6 114 -0.000000 -0.000000
6 118 -0.000000 -0.000000
6 122 -0.000000 -0.000000
6 126 -0.000000 -0.000000
10 2 0.001345 -0.000589
10 6 0.001016 -0.001613
10 10 0.000496 -0.002243
10 14 -0.000023 -0.002405
10 18 -0.000394 -0.002186
10 22 -0.000567 -0.001750
10 26 -0.000571 -0.001261
10 30 -0.000474 -0.000829
10 34 -0.000343 -0.000501
10 38 -0.000222 -0.000280
10 42 -0.000131 -0.000145
10 46 -0.000070 -0.000070
